id,url,title,genre,img,desc,key_word
42,https://webtoon.kakao.com/content/울트라병장/42,울트라병장,학원/판타지,42.jpg,리얼코믹 SF메카닉 만화. 울트라 병장은 대한민국의 평화를 지킬수 있을 것인가,"['웃기는', '역동적인', '학원/판타지', '메카닉물']"
49,https://webtoon.kakao.com/content/천사의-섬/49,천사의 섬,코믹/일상,49.jpg,하염없이 섬에서 표류하는 주인공. 그러던 어느날 그의 앞에 천사가 나타난다.,"['웃기는', '귀여운', '코믹/일상', '에피소드물']"
53,https://webtoon.kakao.com/content/염라공주-모모레/53,염라공주 모모레,코믹/일상,53.jpg,인간세계에서 살아가는 염라국 공주 모모레 식솔들의 좌충우돌 이야기!,"['역동적인', '귀여운', '코믹/일상', '에피소드물']"
54,https://webtoon.kakao.com/content/항해1/54,항해1,학원/판타지,54.jpg,작가 최종훈(hun)의 세 번째 웹만화 '항해'!,"['역동적인', '압도되는', '학원/판타지', '가상시대물']"
57,https://webtoon.kakao.com/content/이웃사람/57,이웃사람,공포/스릴러,57.jpg,오늘 나를 스치고 지나간 그 사람은 당신의 공포스러운 대상이 될 수 있다.,"['긴장감있는', '몰입되는', '공포/스릴러', '범죄스릴러물']"
60,https://webtoon.kakao.com/content/에스탄시아2/60,에스탄시아2,학원/판타지,60.jpg,만화창작집단 풍경의 세번째 SF대작. '열차탈주극' 에스탄시아 그 두번째 이야기!,"['역동적인', '염세적인', '학원/판타지', '로드무비']"
62,https://webtoon.kakao.com/content/데자뷰/62,데자뷰,판타지 드라마,62.jpg,Hun 작가의 첫번째 웹툰 도전 데자뷰! 감동을 원하는 독자들께 추천합니다,"['가슴먹먹한', '공감되는', '판타지드라마', '휴머니즘']"
63,https://webtoon.kakao.com/content/해골택시/63,해골택시,코믹/일상,63.jpg,이제 스스로 삶을 포기하려는 자여 당신 앞으로 택시 한 대가 멈춰 설 것이다.,"['웃기는', '감동적인', '코믹/일상', '에피소드물']"
66,https://webtoon.kakao.com/content/마음이-만든-것/66,마음이 만든 것,판타지 드라마,66.jpg,아이들의 순수한 로맨스 정필원 작가의 작품과 함께 추억속으로 여행을 떠나세요,"['귀여운', '따뜻한', '판타지드라마', '힐링물']"
67,https://webtoon.kakao.com/content/이끼/67,이끼,공포/스릴러,67.jpg,나를 거부하는 고향 사람들의 시선 그 이유는? 한국식 잔혹스릴러의 막이 올랐다!,"['긴장감있는', '압도되는', '공포/스릴러', '범죄스릴러물']"
68,https://webtoon.kakao.com/content/방벽동/68,방벽동,학원/판타지,68.jpg,지구를 습격해오는 괴생명체. .세상의 끝에서 그들과 맞서 싸우는 농촌 메카닉 드라마,"['웃기는', '역동적인', '학원/판타지', '메카닉물']"
69,https://webtoon.kakao.com/content/샴/69,샴,학원/판타지,69.jpg,불의의 사고로 서로의 몸을 공유하게 된 비극적인 쌍둥이 형제 그들의 운명은?,"['처절한', '분노유발', '학원/판타지', '반전물']"
71,https://webtoon.kakao.com/content/R에-관해서/71,R에 관해서,드라마,71.jpg,각기 다른 4명의 여성. 그녀들의 사랑과 일. 이림의 세번째 작품.,"['감동적인', '따뜻한', '드라마', '힐링물']"
79,https://webtoon.kakao.com/content/향연상자/79,향연상자,학원/판타지,79.jpg,그들을 가둔 뜨거운 컨테이너 박스. .새로운 룰로 무장한 또 한 번의 생존게임!,"['처절한', '가슴먹먹한', '학원/판타지', '복수물']"
82,https://webtoon.kakao.com/content/12월/82,12월,드라마,82.jpg,송래현 작가의 '12월' 전작보다 더 가슴아픈 사랑의 이야기가 펼쳐집니다,"['따뜻한', '우울한', '드라마', '연애물']"
84,https://webtoon.kakao.com/content/세브리깡/84,세브리깡,드라마,84.jpg,필요해서 만난 그 여자. 그리고 그 남자..2009 강도하 작가의 신작!,"['기발한', '공감되는', '드라마', '연애물']"
85,https://webtoon.kakao.com/content/미확인거주물체/85,미확인거주물체,판타지 드라마,85.jpg,옆집에 조용히 내려 앉은 미확인물체 알수없는 존재와의 독특한 동거가 시작된다,"['기발한', '감동적인', '판타지드라마', '휴머니즘']"
89,https://webtoon.kakao.com/content/비행접시/89,비행접시,코믹/일상,89.jpg,사랑하지 않는 자는 모두 유죄! 목숨을 건 사랑쟁탈전 발발!,"['공감되는', '가슴먹먹한', '코믹/일상', '연애물']"
90,https://webtoon.kakao.com/content/술/90,술,학원/판타지,90.jpg,'트레이스' 네스티캣의 신작 술! 증오와 사랑 그리고 인간에 관한 새로운 판타지!,"['처절한', '분노유발', '학원/판타지', '복수물']"
91,https://webtoon.kakao.com/content/무차별-강팀장/91,무차별! 강팀장,코믹/일상,91.jpg,성과 위주로 달리는 무차별 강팀장! 그의 리더십에 최대 위기가 찾아왔다!,"['공감되는', '유익한', '코믹/일상', '오피스물']"
93,https://webtoon.kakao.com/content/팬더댄스/93,팬더댄스,코믹/일상,93.jpg,중국 본토 캐릭터들을 압도한 토종 캐릭터 팬더댄스의 귀환!  뽀얀 찹쌀떡 같은 동그란 머리통에 도무지 속을 알 수 없게 지그시 뜬 눈. 상대의 황당함과 뒷골 땡김은 안중에도 없는 통쾌한 마이 페이스 팬더댄스!  음식과 언어 문화 철학과 과학 그리고 자연과 우주를 넘나드는 팬더댄스와 왕구리의 문답 여행!  황당하면서도 묘하게 논리적인 팬더댄스의 말빨을 기대하시라!,"['귀여운', '개성있는', '코믹/일상', '에피소드물']"
95,https://webtoon.kakao.com/content/고양이-장례식/95,고양이 장례식,드라마,95.jpg,헤어진 그와 그녀 고양이 장례식에서 만나다. 홍작가의 7부작 단편극장,"['감동적인', '공감되는', '드라마', '연애물']"
99,https://webtoon.kakao.com/content/이스크라/99,이스크라,학원/판타지,99.jpg,썩은 세상을 바꾸려는 젊은 영웅들의 열혈 혁명기! 작가 이충호의 대단한 도전!,"['역동적인', '몰입되는', '학원/판타지', '레이드물']"
104,https://webtoon.kakao.com/content/어게인/104,어게인,공포/스릴러,104.jpg,2009년 강풀작가의 최신작! 미심썰 시즌4 더 강력한 스릴이 온다!,"['긴장감있는', '몰입되는', '공포/스릴러', '옴니버스물']"
107,https://webtoon.kakao.com/content/체이서/107,체이서,학원/판타지,107.jpg,기억을 잃어버린 네드일행과 그를 쫓는 체이서들간의 코믹액션모험활극!,"['역동적인', '통쾌한', '학원/판타지', '로드무비']"
109,https://webtoon.kakao.com/content/블랙-마리아/109,블랙 마리아,학원/판타지,109.jpg,난데없이 쏟아지는 외계인들의 재난에 대처하는 지구인경찰의 수난기!,"['귀여운', '역동적인', '학원/판타지', '수사물']"
110,https://webtoon.kakao.com/content/밤12시/110,밤12시,공포/스릴러,110.jpg,7주간 매주 금요일 밤 12시 만화속세상 대표작가들이 선보이는 아주 특별한 공포,"['등골오싹한', '미스테리한', '공포/스릴러', '에피소드물']"
116,https://webtoon.kakao.com/content/수퍼우먼1/116,수퍼우먼1,학원/판타지,116.jpg,강철같은 그녀의 숨겨진 비밀은? 본격 여성 히어로 만화 슈퍼우먼!,"['역동적인', '압도되는', '학원/판타지', '로드무비']"
118,https://webtoon.kakao.com/content/종달새가-말했다/118,종달새가 말했다,드라마,118.jpg,아주 가까운 미래 게임중독 소녀와 자폐소년이 만들어가는 하이테크 청춘 동화!,"['설레는', '감동적인', '드라마', '성장물']"
124,https://webtoon.kakao.com/content/삼백이론/124,삼백이론,학원/판타지,124.jpg,망상에 빠져 사는 소녀와 평범한 우등생 두 소녀가 풀어나가는 일상의 낯선 재해석,"['웃기는', '미스테리한', '학원/판타지', '에피소드물']"
126,https://webtoon.kakao.com/content/지옥에서/126,지옥에서,액션/무협,126.jpg,한적한 시골에서 드러나는 또 하나의 지옥도! Hun 작가 2009 하반기 최신작!,"['처절한', '역동적인', '액션/무협', '복수물']"
129,https://webtoon.kakao.com/content/트레져헌터1/129,트레져헌터1,학원/판타지,129.jpg,인디아나 존스를 꿈꿨던 청년들과 의문의 소녀들의 보물찾기 대소동,"['역동적인', '통쾌한', '학원/판타지', '로드무비']"
136,https://webtoon.kakao.com/content/셔틀맨/136,셔틀맨,코믹/일상,136.jpg,찌질이 빵셔틀맨 앞에 나타난 괴상한 구원자!,"['발랄한', '설레는', '코믹/일상', '에피소드물']"
